seed,method,cohort,call,phase,candidate_id,feasible,qor,best_feasible_qor,cum_failed_eda_runtime_s,cum_total_eda_runtime_s,cum_optimizer_overhead_s,fallback_used,p_feas,ei,calibration_detail
137,flowguard_calibrated,extension,16,adaptive,cb36_034,False,,-0.09306823743826212,9325.298018094996,11937.531054986,1.5464528149896068,False,0.14186130250764475,0.06967662147856599,calibrated-rf(cv=3)
137,flowguard_calibrated,extension,17,adaptive,cb36_028,False,,-0.09306823743826212,10084.592892303,12696.825929194005,1.7934192279790295,False,0.21058936156116717,0.016959462012917634,calibrated-rf(cv=3)
137,flowguard_calibrated,extension,18,adaptive,cb36_035,False,,-0.09306823743826212,10585.578216406007,13197.811253297012,2.0712365529761882,False,0.18341972444309682,0.017099571048323547,calibrated-rf(cv=3)
137,flowguard_calibrated,extension,19,adaptive,cb36_031,False,,-0.09306823743826212,11086.180210045015,13698.41324693602,2.33488915397902,False,0.1561133397898007,0.016959462012917634,calibrated-rf(cv=3)
137,flowguard_calibrated,extension,20,adaptive,cb36_024,False,,-0.09306823743826212,11845.835967479012,14458.069004370016,2.5962880949809914,False,0.17812940322482648,0.01691260284617073,calibrated-rf(cv=3)
137,flowguard_calibrated,extension,21,adaptive,cb36_032,False,,-0.09306823743826212,12601.803583055007,15214.036619946011,2.8543101259856485,False,0.11809701045672479,0.017099571048323547,calibrated-rf(cv=3)
137,flowguard_calibrated,extension,22,adaptive,cb36_015,False,,-0.09306823743826212,13134.45270923301,15746.685746124014,3.077887813997222,False,0.1749797675778988,0.0038523620055509883,calibrated-rf(cv=3)
137,flowguard_calibrated,extension,23,adaptive,cb36_023,False,,-0.09306823743826212,13674.21596475401,16286.449001645015,3.2822768530022586,False,0.15523839328128966,0.003950161624746679,calibrated-rf(cv=3)
137,flowguard_calibrated,extension,24,adaptive,cb36_012,False,,-0.09306823743826212,14429.85445991101,17042.087496802014,3.4910886910074623,False,0.14134774370030126,0.0038523620055509883,calibrated-rf(cv=3)
137,ei_only_ablation,extension,1,shared_init,cb36_022,False,,,1345.1955549820123,1345.1955549820123,0.0,False,,,
137,ei_only_ablation,extension,2,shared_init,cb36_006,True,-0.09306823743826212,-0.09306823743826212,1345.1955549820123,1949.370451093011,0.0,False,,,
137,ei_only_ablation,extension,3,shared_init,cb36_025,False,,-0.09306823743826212,1864.2406480120117,2468.4155441230105,0.0,False,,,
137,ei_only_ablation,extension,4,shared_init,cb36_014,False,,-0.09306823743826212,3202.382290629008,3806.5571867400067,0.0,False,,,
137,ei_only_ablation,extension,5,shared_init,cb36_033,False,,-0.09306823743826212,3717.5311922480105,4321.706088359009,0.0,False,,,
137,ei_only_ablation,extension,6,shared_init,cb36_007,False,,-0.09306823743826212,4440.459047621014,5044.633943732013,0.0,False,,,
137,ei_only_ablation,extension,7,shared_init,cb36_008,False,,-0.09306823743826212,5090.363968717014,5694.538864828013,0.0,False,,,
137,ei_only_ablation,extension,8,shared_init,cb36_027,False,,-0.09306823743826212,5597.119207861011,6201.29410397201,0.0,False,,,
