seed,method,call,best_feasible_qor,cum_failed_eda_runtime_s,cum_total_eda_runtime_s,cum_optimizer_overhead_s
101,flowguard_calibrated,5,,3192.816,3192.816,0.0000
101,flowguard_calibrated,6,,3774.780,3774.780,0.0000
101,flowguard_calibrated,7,,4354.476,4354.476,0.0000
101,flowguard_calibrated,8,,5026.505,5026.505,0.0000
101,flowguard_calibrated,9,,5673.316,5673.316,0.0017
101,flowguard_calibrated,10,0.311299618,5673.316,6461.699,0.0032
101,flowguard_calibrated,11,-0.093068237,5673.316,7069.500,0.0630
101,flowguard_calibrated,12,-0.093068237,6375.476,7771.659,0.1361
101,flowguard_calibrated,13,-0.093068237,7713.618,9109.801,0.2044
101,flowguard_calibrated,14,-0.093068237,7713.618,9713.976,0.2731
101,flowguard_calibrated,15,-0.093068237,9050.917,11051.275,0.4759
101,flowguard_calibrated,16,-0.093068237,9632.015,11632.373,0.6771
101,flowguard_calibrated,17,-0.093068237,10210.026,12210.385,0.8774
101,flowguard_calibrated,18,-0.093068237,11555.222,13555.580,1.0768
101,flowguard_calibrated,19,-0.093068237,12311.190,14311.548,1.2795
101,flowguard_calibrated,20,-0.093068237,12311.190,14923.423,1.4992
101,flowguard_calibrated,21,-0.093068237,12817.945,15430.178,1.8290
101,flowguard_calibrated,22,-0.093068237,13577.601,16189.834,2.0838
101,flowguard_calibrated,23,-0.093068237,14078.203,16690.436,2.3466
101,flowguard_calibrated,24,-0.093068237,14610.852,17223.085,2.6241
101,ei_only_ablation,1,,759.295,759.295,0.0000
101,ei_only_ablation,2,,1409.200,1409.200,0.0000
101,ei_only_ablation,3,,1994.159,1994.159,0.0000
101,ei_only_ablation,4,,2691.831,2691.831,0.0000
101,ei_only_ablation,5,,3192.816,3192.816,0.0000
101,ei_only_ablation,6,,3774.780,3774.780,0.0000
101,ei_only_ablation,7,,4354.476,4354.476,0.0000
101,ei_only_ablation,8,,5026.505,5026.505,0.0000
101,ei_only_ablation,9,,5673.316,5673.316,0.0030
101,ei_only_ablation,10,0.311299618,5673.316,6461.699,0.0047
101,ei_only_ablation,11,-0.093068237,5673.316,7069.500,0.0065
101,ei_only_ablation,12,-0.093068237,5673.316,7673.675,0.0537
101,ei_only_ablation,13,-0.093068237,7010.616,9010.974,0.0612
101,ei_only_ablation,14,-0.093068237,8348.758,10349.116,0.0725
101,ei_only_ablation,15,-0.093068237,8929.855,10930.214,0.0798
101,ei_only_ablation,16,-0.093068237,10275.051,12275.409,0.0914
101,ei_only_ablation,17,-0.093068237,10853.062,12853.421,0.0990
101,ei_only_ablation,18,-0.093068237,11609.030,13609.388,0.1111
101,ei_only_ablation,19,-0.093068237,12148.793,14149.152,0.1196
101,ei_only_ablation,20,-0.093068237,12905.653,14906.011,0.1311
101,ei_only_ablation,21,-0.093068237,13406.255,15406.613,0.1386
101,ei_only_ablation,22,-0.093068237,14165.911,16166.269,0.1469
101,ei_only_ablation,23,-0.093068237,14672.666,16673.024,0.1587
101,ei_only_ablation,24,-0.093068237,15187.815,17188.173,0.1666
103,vanilla_bo_penalty,1,-0.093068237,0.000,607.801,0.0000
103,vanilla_bo_penalty,2,-0.093068237,0.000,1211.976,0.0000
